fourier_period_I,fourier_period_source_I,fourier_phase_coverage_I,fourier_offset_I,fourier_model_amp_I,fourier_total_amp_I,fourier_resid_std_I,fourier_chi2_red_I,fourier_var_ratio_I,fourier_A1_I,fourier_phi1_I,fourier_A2_I,fourier_phi2_I,fourier_A3_I,fourier_phi3_I,fourier_A4_I,fourier_phi4_I,fourier_R21_I,fourier_phi21_I,fourier_R31_I,fourier_phi31_I,fourier_R41_I,fourier_phi41_I,id
2.1752173651831144,lomb_scargle,1.0,18.925387423553953,0.06938856006564875,0.030721842396287242,0.04714694305140476,1.4290778208569204,0.17778225431781125,0.029860953875564363,4.448440828325613,0.0023230213876021337,3.534194140648202,0.004549128385944021,2.230377135082635,0.005105294940027586,0.36949080687177444,0.07779461424047457,0.9204977911765617,0.15234370626273383,1.4514252644649677,0.17096891684378912,1.4252834151080798,LMC563.16.842
0.9806086847928708,lomb_scargle,1.0,19.0936720652772,0.6291962000226606,0.2592038899429018,0.15963813600323332,14.453866709466691,0.5382458146825306,0.22617917576561827,6.0241951977174875,0.07921932593900953,3.8481634767205337,0.08156748763909737,2.416417898752346,0.05568375319186162,0.2596127867528218,0.35025030784046096,4.36614369564473,0.36063217297963346,3.1933882271386445,0.2461931033366431,1.2955732246012168,LMC563.16.1142
379.7624573481037,lomb_scargle,0.9,14.66708466339916,0.04555149965768859,0.023809724723023378,0.009910342530221493,4.0244149666198155,0.6764558750679548,0.020908570133601513,3.3956819319632037,0.0065024913361947274,2.9949214482704156,0.007485688551017587,1.1036327512496809,0.005605065538804531,4.850845571037549,0.310996461960102,2.4867428915235945,0.35802010865332057,3.4829575697192414,0.2680750287078122,3.834488457543907,LMC563.16.8
0.48633876729929,lomb_scargle,1.0,18.693508996171204,0.17223392191349793,0.07195024303897686,0.05906028143336453,2.78251280265125,0.4243090772006691,0.06551696766468446,2.2671897993960974,0.021336910431287576,4.540007891884892,0.017098140064257288,1.1809939067015485,0.011694198603700067,3.1725406753461636,0.32566999346626946,0.005628293092697412,0.26097270178567317,0.6626098156928428,0.17849114543198827,0.38696678494136005,LMC563.16.9286
5.773940255789131,lomb_scargle,1.0,19.526565442148414,0.14117078650013265,0.059818290468667025,0.09435042814867707,1.6565960646247861,0.182275317444065,0.058043848581158616,5.907045988418762,0.005542105836660043,2.9128233526741494,0.010705559311761441,5.940750649530606,0.007988465384475759,4.122756587433457,0.09548136403999655,3.6651019901957973,0.18443917096214965,0.7859832986334929,0.13762811356841806,5.627313862476754,LMC563.16.2137
0.088311853845379,lomb_scargle,1.0,20.303983857847303,0.23017332468675833,0.10818375184225434,0.15200428978314431,0.9906762076480355,0.2500668978189501,0.0986026549335526,5.308325032512608,0.03721453218381642,3.1026262040862633,0.01605614290537859,4.198419429131562,0.0183988986644032,3.979221792673886,0.37741916998984404,5.05234675342022,0.16283682134318467,0.8398149459529112,0.18659638198182438,1.5954775841622144,LMC563.16.6742
0.7615895268744133,lomb_scargle,1.0,19.422078452600463,0.40951793793895663,0.1772004632194632,0.084883006322743,1.314363654715741,0.7121865024698224,0.14201730792391312,4.159400011899081,0.08367962240443502,2.041844653864039,0.058165575200303646,6.20595794495978,0.029078773548858086,4.1144983179640855,0.5892212972327784,0.006229937245464612,0.4095668059802,0.010943216442124815,0.20475513846831447,0.04326888472693469,LMC563.25.2150
24.21261526663472,lomb_scargle,1.0,14.586029436247749,0.014228412945703282,0.007388439731183405,0.010485465357434139,4.505062749270205,0.1967178795412502,0.007339906063410838,4.579816110155569,0.00046403993384201453,4.531836048003608,0.0005604052925675768,5.032680229447839,0.00043061988980589913,3.311177121960811,0.0632215085360883,1.6553891348720562,0.07635047202595364,3.8596025133403042,0.05866831075025925,3.841468602877292,LMC563.16.8317
0.5191516227485126,lomb_scargle,1.0,16.091593167499507,0.0520412924395989,0.020728316187175744,0.03482366953894904,33.362646903142824,0.2030648798147131,0.016076539528773373,5.565498578948144,0.00817585788535568,4.330777813883426,0.006488491648202218,2.6901126887537066,0.00789067758212162,2.0094146908612474,0.5085583169638429,5.76615127034631,0.4036000183117321,4.843172873448033,0.4908194060045752,4.880161603787016,LMC563.16.45
0.8264651300176212,lomb_scargle,1.0,18.51029855875975,0.07886018089808043,0.03608177356747805,0.03659769823099711,1.617175616650047,0.3365770516536024,0.03535211894514539,3.2235873625769225,0.005804510106566733,6.176119173819494,0.001662618136166505,4.749746630770105,0.003957958213410657,0.020099839867176464,0.16419129262303575,6.012129755845235,0.04703022579060479,1.3621698502189226,0.11195816068485397,5.975306311098246,LMC563.16.9413
