id,ra,dec,type,subtype,I_mean,V_mean,period,I_amp,period2,class_grouped,n_obs_I,I_median,I_p95_p5,I_mad,I_kurtosis,V_minus_I,log_period,log_period2,period_ratio,has_period2,phot_I_path,phot_V_path,n_obs_I_phot,I_phot_mean,I_phot_median,I_phot_weighted_mean,I_phot_std,I_phot_mad,I_phot_p95_p5,n_obs_V,V_phot_mean,V_phot_median,V_phot_weighted_mean,V_phot_std,V_phot_mad,V_phot_p95_p5,V_minus_I_phot_mean,V_minus_I_phot_median,V_minus_I_phot_weighted_mean,ls_period_I,ls_log_period_I,ls_frequency_I,ls_power_I,ls_period_catalog_ratio,ls_log_period_delta_catalog,fourier_period_I,fourier_period_source_I,fourier_phase_coverage_I,fourier_offset_I,fourier_model_amp_I,fourier_total_amp_I,fourier_resid_std_I,fourier_chi2_red_I,fourier_var_ratio_I,fourier_A1_I,fourier_phi1_I,fourier_A2_I,fourier_phi2_I,fourier_A3_I,fourier_phi3_I,fourier_A4_I,fourier_phi4_I,fourier_R21_I,fourier_phi21_I,fourier_R31_I,fourier_phi31_I,fourier_R41_I,fourier_phi41_I,fourier_fit_quality_I,fourier_fit_reliable_I
LMC563.16.842,05:46:55.53,-66:30:47.6,OTHER,,18.925,18.981,1.85094,0.069,,OTHER,325,18.927,0.1776000000000017,0.0300000000000011,0.3365215119106923,0.0560000000000009,0.2673923409078194,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.842.dat,OGLE4-GSEP-full\phot\V\LMC563.16.842.dat,325,18.92884923076923,18.927,18.92450538975801,0.0519948244191839,0.0300000000000011,0.1776000000000017,27,18.988000000000003,18.98,18.98688969220579,0.0383776778068467,0.0229999999999996,0.1156999999999968,0.0591507692307722,0.0530000000000008,0.0623843024477785,2.1752173651831144,0.3375026616505639,0.4597241710213259,0.169497158036092,1.1751960437308149,0.0701103207427445,2.1752173651831144,lomb_scargle,1.0,18.925387423553957,0.0693885600656487,0.0307218423962872,0.0471469430514047,1.4290778208569204,0.1777822543178112,0.0298609538755643,4.448440828325613,0.0023230213876021,3.534194140648202,0.004549128385944,2.230377135082635,0.0051052949400275,0.3694908068717744,0.0777946142404745,0.9204977911765616,0.1523437062627338,1.4514252644649677,0.1709689168437891,1.4252834151080798,0.07536577636212682,0
LMC563.16.1142,05:46:57.17,-66:24:53.9,RRLYR,RRab,19.091,19.745,0.4944475,0.839,,PULS,334,19.1785,0.7349999999999994,0.1509999999999998,-0.644866171378415,0.6539999999999999,-0.3058798146243821,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.1142.dat,OGLE4-GSEP-full\phot\V\LMC563.16.1142.dat,334,19.118293413173653,19.1785,19.04406935893279,0.2349260777319654,0.1509999999999998,0.7349999999999994,27,19.708407407407407,19.736,19.42151930326423,0.4355883076818911,0.3780000000000001,1.1905000000000037,0.5901139942337537,0.557500000000001,0.3774499443314383,0.9806086847928708,-0.0085042647295327,1.0197747740845526,0.4185498427855331,1.983241263820468,0.2973755498948494,0.9806086847928708,lomb_scargle,1.0,19.0936720652772,0.6291962000226606,0.2592038899429018,0.1596381360032333,14.453866709466691,0.5382458146825306,0.2261791757656182,6.024195197717488,0.0792193259390095,3.8481634767205337,0.0815674876390973,2.416417898752346,0.0556837531918616,0.2596127867528218,0.3502503078404609,4.36614369564473,0.3606321729796334,3.1933882271386445,0.2461931033366431,1.2955732246012168,0.35706067520528867,1
LMC563.16.8,05:46:57.78,-66:26:43.4,LPV,OSARG,14.662,16.383,369.0,0.045,50.18,LPV,337,14.656,0.0564,0.0109999999999992,0.00425616968643,1.7209999999999983,2.56702636615906,1.7005306569785916,0.1359891598915989,1,OGLE4-GSEP-full\phot\I\LMC563.16.8.dat,OGLE4-GSEP-full\phot\V\LMC563.16.8.dat,337,14.6590059347181,14.656,14.6590059347181,0.017422958660452,0.0109999999999992,0.0564,28,16.390071428571428,16.387500000000003,16.389410230692075,0.0355818603092752,0.0264999999999968,0.106150000000003,1.731065493853329,1.7315000000000025,1.7304042959739745,379.7624573481037,2.5795120289306235,0.0026332250085567,0.5395232318059044,1.029166551078872,0.0124856627715632,379.7624573481037,lomb_scargle,0.9,14.66708466339916,0.0455514996576885,0.0238097247230233,0.0099103425302214,4.024414966619816,0.6764558750679548,0.0209085701336015,3.395681931963204,0.0065024913361947,2.994921448270416,0.0074856885510175,1.1036327512496809,0.0056050655388045,4.850845571037549,0.310996461960102,2.4867428915235945,0.3580201086533205,3.4829575697192414,0.2680750287078122,3.834488457543907,0.4242205109866508,1
LMC563.16.9286,05:46:59.24,-66:18:01.0,ECL,,18.69,18.808,0.972667,0.264,,BINARY,337,18.687,0.2607999999999997,0.0460000000000029,0.7574116692027153,0.1179999999999985,-0.0120358183293278,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.9286.dat,OGLE4-GSEP-full\phot\V\LMC563.16.9286.dat,337,18.69544510385757,18.687,18.68348685897346,0.0778396404555805,0.0460000000000029,0.2607999999999997,28,18.822785714285715,18.807,18.815164010389257,0.0585670601029327,0.0304999999999999,0.1874500000000019,0.1273406104281491,0.120000000000001,0.131677151415797,0.48633876729929,-0.3130611103349585,2.0561799042941726,0.3383722972515904,0.5000054153161256,-0.3010252920056306,0.48633876729929,lomb_scargle,1.0,18.693508996171204,0.1722339219134979,0.0719502430389768,0.0590602814333645,2.78251280265125,0.4243090772006691,0.0655169676646844,2.267189799396097,0.0213369104312875,4.540007891884892,0.0170981400642572,1.1809939067015485,0.0116941986037,3.172540675346164,0.3256699934662694,0.0056282930926974,0.2609727017856731,0.6626098156928428,0.1784911454319882,0.38696678494136,0.25169377536938653,0
LMC563.16.2137,05:47:00.94,-66:25:36.0,OTHER,,19.526,19.529,0.85047,0.142,,OTHER,337,19.536,0.3308,0.0560000000000009,2.1636979438445443,0.0030000000000001,-0.0703410013509394,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.2137.dat,,337,19.53945994065282,19.536,19.52221157203972,0.104337474851224,0.0560000000000009,0.3308,0,,,,,,,,,,5.773940255789131,0.7614722858288473,0.1731919548348927,0.1829145878142682,6.789116906874001,0.8318132871797868,5.773940255789131,lomb_scargle,1.0,19.526565442148414,0.1411707865001326,0.059818290468667,0.094350428148677,1.656596064624786,0.182275317444065,0.0580438485811586,5.907045988418762,0.00554210583666,2.9128233526741494,0.0107055593117614,5.940750649530606,0.0079884653844757,4.122756587433457,0.0954813640399965,3.665101990195797,0.1844391709621496,0.7859832986334929,0.137628113568418,5.627313862476754,0.078005947116034,0
LMC563.16.6742,05:47:01.04,-66:22:26.8,OTHER,,20.301,20.975,0.0883122,0.234,,OTHER,334,20.33,0.601700000000001,0.1059999999999981,0.5075199378783473,0.674000000000003,-1.053979296120214,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.6742.dat,,334,20.349224550898203,20.33,20.301390610373417,0.1755272636838626,0.1059999999999981,0.601700000000001,0,,,,,,,,,,0.088311853845379,-1.0539809984143071,11.323508186690908,0.2192993491092907,0.999996080330679,-1.7022940932420738e-06,0.088311853845379,lomb_scargle,1.0,20.303983857847303,0.2301733246867583,0.1081837518422543,0.1520042897831443,0.9906762076480355,0.2500668978189501,0.0986026549335526,5.308325032512608,0.0372145321838164,3.1026262040862638,0.0160561429053785,4.198419429131562,0.0183988986644032,3.979221792673886,0.377419169989844,5.05234675342022,0.1628368213431846,0.8398149459529112,0.1865963819818243,1.5954775841622144,0.10775117765469178,0
LMC563.25.2150,05:47:01.13,-66:05:09.9,ECL,,19.414,19.864,1.523157,0.407,,BINARY,326,19.3935,0.4917500000000032,0.0759999999999987,1.6314617599555277,0.4499999999999993,0.1827446707158718,,,0,OGLE4-GSEP-full\phot\I\LMC563.25.2150.dat,,326,19.4403282208589,19.3935,19.40438216278367,0.1582213822014836,0.0759999999999987,0.4917500000000032,0,,,,,,,,,,0.7615895268744133,-0.1182790368556259,1.313043266369524,0.4554012131387868,0.5000072394864175,-0.3010237075714977,0.7615895268744133,lomb_scargle,1.0,19.422078452600463,0.4095179379389566,0.1772004632194632,0.084883006322743,1.314363654715741,0.7121865024698224,0.1420173079239131,4.159400011899081,0.083679622404435,2.041844653864039,0.0581655752003036,6.20595794495978,0.029078773548858,4.1144983179640855,0.5892212972327784,0.0062299372454646,0.4095668059802,0.0109432164421248,0.2047551384683144,0.0432688847269346,0.5034718252165434,1
LMC563.16.8317,05:47:01.13,-66:15:25.1,LPV,OSARG,14.586,15.956,24.22,0.015,484.0,LPV,337,14.586,0.0380000000000002,0.0079999999999991,0.2547126398329418,1.3699999999999992,1.3841741388070334,2.6848453616444123,19.98348472336912,1,OGLE4-GSEP-full\phot\I\LMC563.16.8317.dat,,337,14.586281899109792,14.586,14.586281899109792,0.0116991324953841,0.0079999999999991,0.0380000000000002,0,,,,,,,,,,24.21261526663472,1.384041701235448,0.0413007842807469,0.1946393242386681,0.9996950977140676,-0.0001324375715854,24.21261526663472,lomb_scargle,1.0,14.586029436247747,0.0142284129457032,0.0073884397311834,0.0104854653574341,4.505062749270205,0.1967178795412502,0.0073399060634108,4.579816110155569,0.000464039933842,4.531836048003608,0.0005604052925675,5.032680229447839,0.0004306198898058,3.311177121960811,0.0632215085360883,1.6553891348720562,0.0763504720259536,3.859602513340304,0.0586683107502592,3.841468602877292,0.0795180515553559,0
LMC563.16.45,05:47:03.67,-66:30:27.1,ECL,RSCVn,16.09,16.945,2.165635,0.184,2.12646,BINARY,335,16.089,0.1267999999999993,0.0189999999999983,4.13749501967812,0.8550000000000004,0.3355852616874757,0.3276572177847414,0.9819106174401504,1,OGLE4-GSEP-full\phot\I\LMC563.16.45.dat,OGLE4-GSEP-full\phot\V\LMC563.16.45.dat,335,16.094373134328357,16.089,16.0926056793413,0.0390088412444716,0.0189999999999983,0.1267999999999993,29,16.932206896551726,16.944,16.931993807263776,0.0479451914096745,0.0239999999999973,0.1228000000000015,0.8378337622233687,0.8550000000000004,0.8393881279224757,0.5191516227485126,-0.284705784143453,1.926219540075328,0.1309679576361146,0.2397225860999257,-0.6202910458309288,0.5191516227485126,lomb_scargle,1.0,16.091593167499507,0.0520412924395989,0.0207283161871757,0.034823669538949,33.362646903142824,0.2030648798147131,0.0160765395287733,5.565498578948144,0.0081758578853556,4.330777813883426,0.0064884916482022,2.6901126887537066,0.0078906775821216,2.009414690861248,0.5085583169638429,5.76615127034631,0.4036000183117321,4.843172873448033,0.4908194060045752,4.880161603787016,0.08684261350354666,0
LMC563.16.9413,05:47:03.96,-66:15:43.4,OTHER,,18.511,19.013,4.8236,0.093,,OTHER,336,18.5165,0.1464999999999996,0.0309999999999988,-0.2061233564885096,0.5020000000000024,0.6833712864879428,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.9413.dat,OGLE4-GSEP-full\phot\V\LMC563.16.9413.dat,336,18.514288690476192,18.5165,18.509099226066144,0.0449322872651398,0.0309999999999988,0.1464999999999996,29,19.01141379310345,19.012,19.006756510382115,0.0294782210664311,0.0199999999999995,0.0886000000000031,0.4971251026272583,0.4954999999999998,0.4976572843159701,0.8264651300176212,-0.0827754653356056,1.2099724037705968,0.3244032645555207,0.1713378244501246,-0.7661467518235484,0.8264651300176212,lomb_scargle,1.0,18.51029855875975,0.0788601808980804,0.036081773567478,0.0365976982309971,1.617175616650047,0.3365770516536024,0.0353521189451453,3.2235873625769225,0.0058045101065667,6.176119173819494,0.0016626181361665,4.749746630770105,0.0039579582134106,0.0200998398671764,0.1641912926230357,6.012129755845235,0.0470302257906047,1.3621698502189226,0.1119581606848539,5.975306311098246,0.17455806383669645,0
