id,ra,dec,type,subtype,I_mean,V_mean,period,I_amp,period2,class_grouped,n_obs_I,I_median,I_p95_p5,I_mad,I_kurtosis,V_minus_I,log_period,log_period2,period_ratio,has_period2,phot_I_path,phot_V_path,n_obs_I_phot,I_phot_mean,I_phot_median,I_phot_weighted_mean,I_phot_std,I_phot_mad,I_phot_p95_p5,n_obs_V,V_phot_mean,V_phot_median,V_phot_weighted_mean,V_phot_std,V_phot_mad,V_phot_p95_p5,V_minus_I_phot_mean,V_minus_I_phot_median,V_minus_I_phot_weighted_mean,ls_period_I,ls_log_period_I,ls_frequency_I,ls_power_I,ls_period_catalog_ratio,ls_log_period_delta_catalog
LMC563.16.842,05:46:55.53,-66:30:47.6,OTHER,,18.925,18.981,1.85094,0.069,,OTHER,325,18.927,0.17760000000000176,0.030000000000001137,0.33652151191069235,0.05600000000000094,0.2673923409078194,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.842.dat,OGLE4-GSEP-full\phot\V\LMC563.16.842.dat,325,18.92884923076923,18.927,18.92450538975801,0.05199482441918393,0.030000000000001137,0.17760000000000176,27,18.988000000000003,18.98,18.98688969220579,0.038377677806846755,0.022999999999999687,0.1156999999999968,0.05915076923077223,0.053000000000000824,0.062384302447778595,2.1752173651831144,0.3375026616505639,0.4597241710213259,0.16949715803609205,1.1751960437308149,0.07011032074274454
LMC563.16.1142,05:46:57.17,-66:24:53.9,RRLYR,RRab,19.091,19.745,0.4944475,0.839,,PULS,334,19.1785,0.7349999999999994,0.1509999999999998,-0.644866171378415,0.6539999999999999,-0.30587981462438213,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.1142.dat,OGLE4-GSEP-full\phot\V\LMC563.16.1142.dat,334,19.118293413173653,19.1785,19.04406935893279,0.23492607773196542,0.1509999999999998,0.7349999999999994,27,19.708407407407407,19.736,19.42151930326423,0.43558830768189116,0.3780000000000001,1.1905000000000037,0.5901139942337537,0.557500000000001,0.3774499443314383,0.9806086847928707,-0.008504264729532774,1.0197747740845526,0.41854984278553314,1.9832412638204677,0.2973755498948494
LMC563.16.8,05:46:57.78,-66:26:43.4,LPV,OSARG,14.662,16.383,369.0,0.045,50.18,LPV,337,14.656,0.056400000000000006,0.010999999999999233,0.004256169686430056,1.7209999999999983,2.56702636615906,1.7005306569785916,0.1359891598915989,1,OGLE4-GSEP-full\phot\I\LMC563.16.8.dat,OGLE4-GSEP-full\phot\V\LMC563.16.8.dat,337,14.659005934718099,14.656,14.6590059347181,0.01742295866045203,0.010999999999999233,0.056400000000000006,28,16.390071428571428,16.387500000000003,16.389410230692075,0.03558186030927527,0.02649999999999686,0.10615000000000308,1.731065493853329,1.7315000000000023,1.7304042959739743,379.7624573481037,2.5795120289306235,0.0026332250085567693,0.5395232318059044,1.0291665510788721,0.012485662771563266
LMC563.16.9286,05:46:59.24,-66:18:01.0,ECL,,18.69,18.808,0.972667,0.264,,BINARY,337,18.687,0.2607999999999997,0.04600000000000293,0.7574116692027153,0.11799999999999855,-0.01203581832932784,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.9286.dat,OGLE4-GSEP-full\phot\V\LMC563.16.9286.dat,337,18.695445103857566,18.687,18.68348685897346,0.07783964045558053,0.04600000000000293,0.2607999999999997,28,18.822785714285715,18.807000000000002,18.815164010389257,0.05856706010293278,0.03049999999999997,0.1874500000000019,0.12734061042814915,0.120000000000001,0.13167715141579706,0.48633876729929,-0.3130611103349585,2.0561799042941726,0.33837229725159046,0.5000054153161256,-0.30102529200563066
LMC563.16.2137,05:47:00.94,-66:25:36.0,OTHER,,19.526,19.529,0.85047,0.142,,OTHER,337,19.536,0.3308,0.05600000000000094,2.1636979438445443,0.0030000000000001137,-0.07034100135093947,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.2137.dat,,337,19.53945994065282,19.536,19.52221157203972,0.10433747485122406,0.05600000000000094,0.3308,0,,,,,,,,,,5.773940255789131,0.7614722858288473,0.17319195483489272,0.18291458781426823,6.789116906874001,0.8318132871797868
LMC563.16.6742,05:47:01.04,-66:22:26.8,OTHER,,20.301,20.975,0.0883122,0.234,,OTHER,334,20.33,0.601700000000001,0.1059999999999981,0.5075199378783473,0.674000000000003,-1.053979296120214,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.6742.dat,,334,20.349224550898203,20.33,20.301390610373417,0.17552726368386265,0.1059999999999981,0.601700000000001,0,,,,,,,,,,0.088311853845379,-1.0539809984143071,11.323508186690908,0.21929934910929075,0.999996080330679,-1.7022940932420738e-06
LMC563.25.2150,05:47:01.13,-66:05:09.9,ECL,,19.414,19.864,1.523157,0.407,,BINARY,326,19.3935,0.49175000000000324,0.07599999999999874,1.6314617599555277,0.4499999999999993,0.1827446707158718,,,0,OGLE4-GSEP-full\phot\I\LMC563.25.2150.dat,,326,19.4403282208589,19.3935,19.40438216278367,0.15822138220148366,0.07599999999999874,0.49175000000000324,0,,,,,,,,,,0.7615895268744133,-0.11827903685562596,1.313043266369524,0.45540121313878684,0.5000072394864175,-0.30102370757149777
LMC563.16.8317,05:47:01.13,-66:15:25.1,LPV,OSARG,14.586,15.956,24.22,0.015,484.0,LPV,337,14.586,0.038000000000000256,0.007999999999999119,0.2547126398329418,1.3699999999999992,1.3841741388070334,2.6848453616444123,19.983484723369116,1,OGLE4-GSEP-full\phot\I\LMC563.16.8317.dat,,337,14.586281899109792,14.586,14.586281899109792,0.011699132495384108,0.007999999999999119,0.038000000000000256,0,,,,,,,,,,24.212615266634717,1.384041701235448,0.04130078428074692,0.1946393242386681,0.9996950977140676,-0.0001324375715854309
LMC563.16.45,05:47:03.67,-66:30:27.1,ECL,RSCVn,16.09,16.945,2.165635,0.184,2.12646,BINARY,335,16.089,0.12679999999999936,0.01899999999999835,4.13749501967812,0.8550000000000004,0.33558526168747577,0.3276572177847414,0.9819106174401503,1,OGLE4-GSEP-full\phot\I\LMC563.16.45.dat,OGLE4-GSEP-full\phot\V\LMC563.16.45.dat,335,16.094373134328357,16.089,16.0926056793413,0.03900884124447166,0.01899999999999835,0.12679999999999936,29,16.932206896551726,16.944,16.931993807263776,0.04794519140967459,0.023999999999997357,0.12280000000000157,0.8378337622233687,0.8550000000000004,0.8393881279224757,0.5191516227485126,-0.284705784143453,1.9262195400753277,0.13096795763611468,0.2397225860999257,-0.6202910458309288
LMC563.16.9413,05:47:03.96,-66:15:43.4,OTHER,,18.511,19.013,4.8236,0.093,,OTHER,336,18.5165,0.14649999999999963,0.030999999999998806,-0.20612335648850966,0.5020000000000024,0.6833712864879428,,,0,OGLE4-GSEP-full\phot\I\LMC563.16.9413.dat,OGLE4-GSEP-full\phot\V\LMC563.16.9413.dat,336,18.514288690476192,18.5165,18.509099226066144,0.044932287265139814,0.030999999999998806,0.14649999999999963,29,19.01141379310345,19.012,19.006756510382115,0.029478221066431103,0.019999999999999574,0.08860000000000312,0.4971251026272583,0.49549999999999983,0.4976572843159701,0.8264651300176212,-0.08277546533560569,1.2099724037705968,0.32440326455552077,0.17133782445012466,-0.7661467518235484
