class,roc_auc,k_features
BINARY,0.9983483525767389,7
LPV,0.999355729806111,7
PULS,0.9997772551718863,7
BINARY,0.998269853562377,8
LPV,0.9993111376219046,8
PULS,0.9994918932354403,8
BINARY,0.9981526330611096,9
LPV,0.9994324631101021,9
PULS,0.999027283851478,9
BINARY,0.9983388482117712,10
LPV,0.9995540781579374,10
PULS,0.9990545294635004,10
