PC1,PC2,class_grouped,id,type,misclassified_best_model
-1.5273307648676546,-1.543524515152094,PULS,LMC563.16.1142,RRLYR,False
-4.646580308900394,-3.4728469768156325,LPV,LMC563.16.8,LPV,False
-2.6977968288244476,-0.5188195595692519,BINARY,LMC563.16.9286,ECL,False
-2.698626865687903,-0.5366392816677522,BINARY,LMC563.25.2150,ECL,False
12.72476990799132,16.994802433315385,LPV,LMC563.16.8317,LPV,False
-4.611265331592338,-2.583338689393476,BINARY,LMC563.16.45,ECL,True
0.25194447654877195,2.2250373075903562,LPV,LMC563.25.22,LPV,False
-2.7289372346220473,-0.4974404239050944,BINARY,LMC563.16.8438,ELL,False
-2.481996391768839,-0.897768053225303,BINARY,LMC563.25.156,ECL,False
-2.3803915480046958,-0.8005139947498454,PULS,LMC563.16.2213,DSCT,False
-4.398581348275242,-1.951013214343652,LPV,LMC563.16.12,LPV,False
18.085536356147326,-19.445723549305598,LPV,LMC563.16.22,LPV,False
-2.959382145196959,-0.3045403156681813,BINARY,LMC563.25.8058,ECL,False
0.5813569456872361,3.879607197280964,LPV,LMC563.16.8349,LPV,False
-2.6907185266139817,-0.5396285571559595,BINARY,LMC563.25.1419,ECL,False
-4.151540956407625,-1.5630239716327605,LPV,LMC563.25.7078,LPV,False
-3.0990899752941745,-0.20007651472670163,BINARY,LMC563.25.7699,ECL,False
2.580459816645334,-5.5587725624591435,LPV,LMC563.16.2,LPV,False
-4.874842549995634,-2.4968885107251504,LPV,LMC563.25.23,LPV,False
-2.810954984404478,-0.5479093179252587,BINARY,LMC563.25.7138,ECL,False
11.345912565914748,16.09451523949625,LPV,LMC563.25.34,LPV,False
2.621021092016429,6.634109527498579,LPV,LMC563.25.18,LPV,False
-2.7353875517021997,-0.5102758926788294,BINARY,LMC563.25.8275,ECL,False
15.512204823064021,21.308516683051877,LPV,LMC563.25.7104,LPV,False
-2.1955064484061513,-0.9682424849356669,BINARY,LMC563.16.2567,ECL,False
-2.851631976481009,-0.40255494603993475,BINARY,LMC563.25.8273,ECL,False
-2.89315592284271,-0.3827009180758616,BINARY,LMC563.16.12914,ECL,False
0.4992818256409164,3.7303131171004047,LPV,LMC563.16.8331,LPV,False
-3.456073835446259,-2.302569404206179,LPV,LMC563.16.14,LPV,False
-3.899835448664926,-1.2268640330474296,LPV,LMC563.16.8347,LPV,False
-2.9063155641966443,-0.3739186006297735,BINARY,LMC563.25.8719,ECL,False
-2.3002303325876996,-0.8491314135284542,PULS,LMC563.16.1582,DSCT,False
17.60784299120253,23.808929403433556,LPV,LMC563.16.8393,LPV,False
-3.987458338240276,-2.9258216061264974,LPV,LMC563.16.8303,LPV,False
17.567482627558494,23.5560556036184,LPV,LMC563.25.7108,LPV,False
-2.2887431329136882,-0.8873722750896926,PULS,LMC563.16.899,RRLYR,False
-2.5331353300882897,-0.654510719768469,PULS,LMC563.16.813,RRLYR,False
-2.7216642461352523,0.713044548967785,LPV,LMC563.25.13,LPV,False
-4.425094181793034,-1.8977234878642004,LPV,LMC563.25.7085,LPV,False
-1.1833925476930955,-1.8378030076411402,PULS,LMC563.25.1044,RRLYR,False
-4.302629182178064,-1.7436148798238804,LPV,LMC563.16.28,LPV,False
-3.5565097646113872,-2.040028931352164,LPV,LMC563.25.6,LPV,False
-2.9875826734448396,-0.32219714950822764,BINARY,LMC563.25.8415,ECL,False
16.396901409101453,-21.00763394336212,LPV,LMC563.16.20,LPV,False
-2.6723453096573273,-0.5236978367486653,BINARY,LMC563.25.723,ECL,False
57.45478412102157,-12.588527290480423,LPV,LMC563.25.7098,LPV,False
-2.3222087547262316,-0.8352523980805084,PULS,LMC563.25.1124,RRLYR,False
-3.0188977802616375,-0.2978325689001645,BINARY,LMC563.25.198,ECL,False
-2.8523399966303873,0.13719972422863458,LPV,LMC563.25.2,LPV,False
2.3735594676425436,4.4166543879243605,LPV,LMC563.25.7096,LPV,False
-2.270452679415307,-0.8828655936539701,BINARY,LMC563.16.1134,ECL,False
10.286387212555073,-15.687726598008304,LPV,LMC563.16.8367,LPV,False
-0.7939140018037649,2.470835211310809,LPV,LMC563.16.8348,LPV,False
-4.725673828233363,-1.9532779782059866,LPV,LMC563.25.7086,LPV,False
-2.950154832970731,-0.33902104272357775,BINARY,LMC563.25.8212,ECL,False
-1.2600247783881107,-1.7435094079491562,PULS,LMC563.25.8037,RRLYR,False
-2.8497356919543915,-0.5260193724733879,BINARY,LMC563.16.577,ECL,False
-4.272954622683211,-1.7191131862868108,LPV,LMC563.16.16,LPV,False
0.34716326161848565,3.493208518615673,LPV,LMC563.25.7109,LPV,False
-2.3119791010924007,-0.8345821370179685,PULS,LMC563.16.8386,DCEP,False
-2.969193439718705,-0.37251440194908714,BINARY,LMC563.16.3804,ECL,False
