k_features,features,valid_accuracy,valid_balanced_accuracy,valid_macro_f1,valid_macro_precision,valid_macro_recall,test_accuracy,test_balanced_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,test_roc_auc_ovr_macro,test_roc_auc_ovr_weighted,test_macro_roc_curve_auc
7,"V_minus_I,I_kurtosis,ls_period_catalog_ratio,period_ratio,period,fourier_phi21_I,fourier_R21_I",0.9811794228356336,0.9763564228335424,0.9772755971222423,0.9782309712263572,0.9763564228335424,0.9868350349274584,0.9830892858982226,0.9851786131398539,0.9873379699610175,0.9830892858982226,0.9991604458515787,0.9991437319857184,0.9977260910014103
8,"V_minus_I,I_kurtosis,ls_period_catalog_ratio,period_ratio,period,fourier_phi21_I,fourier_R21_I,I_mad",0.9887076537013801,0.9845475910693303,0.9854896311788309,0.9864682886531854,0.9845475910693303,0.9895217624932832,0.9859169841416989,0.9874495059348286,0.9890158267831666,0.9859169841416989,0.9990242948065738,0.9990447391430025,0.9976895882687777
9,"V_minus_I,I_kurtosis,ls_period_catalog_ratio,period_ratio,period,fourier_phi21_I,fourier_R21_I,I_mad,period2",0.986198243412798,0.980846063454759,0.982483523578204,0.9841714755282768,0.980846063454759,0.9876410531972059,0.9827074881434296,0.9848058413769906,0.9869677610449945,0.9827074881434296,0.9988707933408966,0.9989887362156984,0.9975503917993065
10,"V_minus_I,I_kurtosis,ls_period_catalog_ratio,period_ratio,period,fourier_phi21_I,fourier_R21_I,I_mad,period2,fourier_R41_I",0.986198243412798,0.980846063454759,0.982483523578204,0.9841714755282768,0.980846063454759,0.9871037076840409,0.9817413045685504,0.9840039772649408,0.9863467771901689,0.9817413045685504,0.9989824852777364,0.9991114626013948,0.9976243456775075
